word,definition
start,"To move suddenly in surprise or fear."
check,"To hold back or control; also means to inspect or examine."
flush,"To drive out or cleanse; also a red coloration."
involved,"Complicated or complex."
qualify,"To modify or restrict a statement or position."
fell,"Fierce, cruel, or deadly; also means to cut down a tree."
arch,"Mischievously playful or teasing."
exhilarated,"Feeling extremely happy or energetic."
blithe,"Cheerful, carefree, or indifferent."
ambivalent,"Holding mixed or contradictory feelings about something."
elated,"Extremely happy or joyful."
melancholic,"Characterized by deep sadness or gloom."
dour,"Stern, gloomy, and uninviting."
morose,"Sullen and ill-tempered."
saturnine,"Gloomy, bitter, and slow-moving."
fortnight,"A period of two weeks."
bimonthly,"Occurring every two months or twice a month (context-dependent)."
semi-monthly,"Occurring twice a month."
antediluvian,"Extremely old-fashioned or ancient."
fin-de-siècle,"Relating to the end of a century, often associated with decadence or decline."
crepuscular,"Relating to twilight; dimly lit."
insipid,"Lacking flavor or excitement; dull."
vapid,"Offering nothing stimulating or challenging; bland."
succulent,"Juicy and tender."
briny,"Salty, like seawater."
acrid,"Sharp and harsh in taste or smell."
toothsome,"Delicious or appetizing."
palatable,"Pleasant to taste or acceptable."
ennui,"A feeling of boredom, weariness, or dissatisfaction."
stultifying,"Causing a loss of enthusiasm or initiative; dulling or numbing."
effervescent,"Bubbly, lively, and full of energy."
diversion,"An activity that distracts or entertains; also a detour or redirection."
buoyant,"Able to float; also means cheerful and optimistic."
avocation,"A hobby or minor occupation outside one's main work."
insufferable,"Unbearable or intolerable."
unconscionable,"Unreasonably excessive; not guided by conscience or morality."
impertinent,"Rude or disrespectful; also means irrelevant."
immaterial,"Irrelevant or unimportant."
inflammable,"Easily set on fire; also means highly excitable."
unnerve,"To make someone feel nervous, anxious, or lacking confidence."
cogent,"Convincing, logical, and well-reasoned."
buttress,"To support or reinforce; also a structure that supports a wall."
garish,"Excessively bright or showy, often in a tasteless way."
hapless,"Unlucky or unfortunate."
panache,"Flamboyant confidence or stylish elegance."
protean,"Able to change form or adapt easily; versatile."
fatuous,"Silly, foolish, or lacking intelligence."
cerulean,"Deep blue, like the sky or the sea."
chartreuse,"A vivid yellow-green color."
mauve,"A pale purple or lilac color."
azure,"A bright blue color, like a clear sky."
alabaster,"A pale, white, or translucent material or color."
taupe,"A grayish-brown color."
puce,"A dark reddish-purple color."

