word,definition
benefactor,"a person who gives money or help to a person or cause"
benediction,"a blessing, especially at the end of a religious service"
beneficial,"producing good or helpful results"
benevolence,"the quality of being well-meaning or kind"
beneficiary,"a person who receives benefits, especially from a will or trust"
malaria,"a disease transmitted by mosquitoes, causing fever and chills"
malfeasance,"wrongdoing, especially by a public official"
malapropism,"the mistaken use of a word in place of a similar-sounding one, often amusing"
malodorous,"smelling very unpleasant"
malady,"a disease or ailment"
malice,"the intention or desire to do evil"
malign,"to speak about someone in a spitefully critical manner"
malificent,"having or showing a desire to cause harm or evil (archaic or fictional form of 'maleficent')"
telephone,"a device for transmitting voices over a distance using wire or radio"
phonetic,"relating to the sounds of speech"
cacophony,"a harsh, discordant mixture of sounds"
symphony,"a long and complex musical composition for an orchestra"
homophone,"words that sound the same but have different meanings or spellings"
francophone,"a person who speaks French, especially as a first language"
anglophone,"a person who speaks English, especially as a first language"
phoneme,"the smallest unit of sound in a language"
euphoria,"a feeling or state of intense excitement and happiness"
euphemism,"a mild or indirect word substituted for one considered too harsh or blunt"
eugenics,"the science of improving the genetic quality of the human population"
euthanasia,"the practice of intentionally ending a life to relieve pain and suffering"
eulogy,"a speech or piece of writing that praises someone, typically someone who has died"
eureka,"an exclamation used to express triumph on a discovery"
euphony,"the quality of being pleasing to the ear, especially through harmonious sound"
eudaemonic,"relating to happiness or welfare; conducive to well-being"
anthropology,"the study of humans, their societies, and cultures"
anthropocentric,"regarding humans as the central element of the universe"
anthropomorphic,"attributing human characteristics to nonhuman entities"
anthropogenic,"originating from human activity, especially environmental impact"
anthropophagy,"the practice of eating human flesh; cannibalism"
Anthropocene,"the current geological age, viewed as the period during which human activity has been the dominant influence on climate and environment"
circumspect,"wary and unwilling to take risks; cautious"
circumvent,"to find a way around an obstacle or rule"
circumscribe,"to restrict something within limits"
circumlocution,"the use of many words where fewer would do, especially to be vague or evasive"
circumstance,"a fact or condition connected with an event or action"
circumambulate,"to walk all the way around something"
circumference,"the enclosing boundary of a curved geometric figure, especially a circle"
bureaucracy,"a system of government where important decisions are made by state officials rather than elected representatives"
autocracy,"a system of government by one person with absolute power"
plutocracy,"a society or system ruled by the wealthy"
democracy,"a system of government by the whole population, typically through elected representatives"
aristocracy,"a form of government in which power is held by the nobility"
theocracy,"a system of government in which priests rule in the name of God or a god"
technocracy,"a system of government where decision-makers are selected based on technical knowledge"
gerontocracy,"a government ruled by elders or older individuals"
dichotomy,"a division or contrast between two things that are represented as being opposed"
dilate,"to make or become wider or larger"
diurnal,"active during the day; daily"
diverse,"showing a great deal of variety; very different"
diverge,"to separate from a path or opinion and go in a different direction"
dissect,"to methodically cut up to study internal parts"
dilute,"to make a liquid thinner or weaker by adding water or another substance"
diameter,"a straight line passing from side to side through the center of a circle"
diagnosis,"the identification of the nature of an illness or problem"
dialogue,"a conversation between two or more people"
diorama,"a three-dimensional full-size or miniature model representing a scene"
diadem,"a jeweled crown or headband worn as a symbol of sovereignty"
diachronic,"concerned with the way something, especially language, develops through time"
diapason,"a full, rich outpouring of harmonious sound"
epidemic,"a widespread occurrence of a disease in a community at a particular time"
epitome,"a perfect example of a particular quality or type"
epistolary,"relating to or contained in letters or written correspondence"
epitaph,"a phrase or statement written in memory of someone, especially on a tombstone"
epithet,"a descriptive phrase expressing a quality of the person or thing mentioned"
epigram,"a pithy or witty saying or remark"
epigraph,"a short quotation or saying at the beginning of a book or chapter"
