word,definition
Incredulous,"Unwilling or unable to believe something; skeptical."
Indiscriminate,"Done at random or without careful judgment."
Incontrovertible,"Not able to be denied or disputed."
Indulgent,"Having or indicating a tendency to be overly generous or lenient."
Ineffable,"Too great or extreme to be expressed in words."
Indoctrinate,"To teach a person or group to accept a set of beliefs uncritically."
Infectious,"Likely to spread or influence others rapidly; capable of causing infection."
Inter,"To place (a corpse) in a grave or tomb; bury."
Inequity,"Lack of fairness or justice."
Inimical,"Tending to obstruct or harm; unfriendly or hostile."
Iniquity,"Immoral or grossly unfair behavior."
Insinuate,"To suggest or hint (something bad or reprehensible) in an indirect and unpleasant way."
Incapacitate,"To prevent from functioning in a normal way; to disable."
Inhibit,"To hinder, restrain, or prevent an action or process."
Innumerable,"Too many to be counted."
Instigate,"To provoke or incite someone to do something, especially something bad."
Intersperse,"To scatter among or between other things."
Interrogate,"To ask questions of someone closely, aggressively, or formally."
Intercede,"To intervene on behalf of another."
Interdict,"An authoritative prohibition or ban."
Interim,"The intervening time; temporary or provisional."
Interject,"To say something abruptly, especially as an interruption."
Intermediary,"A person who acts as a link between people in order to try to bring about an agreement."
Interloper,"A person who becomes involved in a place or situation where they are not wanted or are considered not to belong."
Interlocuter,"A person who takes part in a conversation or dialogue."
Intermission,"A pause or break, especially in a play or performance."
Interplay,"The way in which two or more things have an effect on each other."
Internecine,"Destructive to both sides in a conflict."
Subservient,"Prepared to obey others unquestioningly; less important or subordinate."
Submerge,"To cause to be under water; to completely cover or obscure."
Subsume,"To include or absorb something in something else."
Subterranean,"Existing, occurring, or done under the earth's surface."
Subsidize,"To support financially; to fund."
Substantiate,"To provide evidence to support or prove the truth of something."
Empathy,"The ability to understand and share the feelings of another."
Apathy,"Lack of interest, enthusiasm, or concern."
Antipathy,"A deep-seated feeling of aversion."
Sociopath,"A person with a personality disorder manifesting itself in extreme antisocial attitudes and behavior."
Pathogen,"A bacterium, virus, or other microorganism that can cause disease."
Pathos,"A quality that evokes pity or sadness."
Pathological,"Involving or caused by a physical or mental disease; compulsive."
Homeopathic,"Relating to a system of alternative medicine using small doses of natural substances."
Refractory,"Stubborn or unmanageable; resistant to treatment or control."
Fractious,"Irritable and quarrelsome; difficult to control."
Fragment,"A small part broken off or separated from something."
Fragile,"Easily broken or damaged."
Fracture,"The cracking or breaking of a hard object or material."
Fractal,"A complex geometric figure made up of patterns that repeat at different scales."
Belligerent,"Hostile and aggressive."
Bellow,"To emit a deep loud roar, typically in pain or anger."
Bellicose,"Demonstrating aggression and willingness to fight."
Belle,"A beautiful girl or woman, especially the most beautiful at a particular event."
Antebellum,"Occurring or existing before a particular war, especially the American Civil War."
Casus belli,"An act or situation provoking or justifying war."
Carnal,"Relating to physical, especially sexual, needs and activities."
Carnage,"The killing of a large number of people."
Carnivore,"An animal that feeds on flesh."
Carnelian,"A semi-precious stone consisting of a reddish variety of chalcedony."
Carnation,"A double-flowered cultivated variety of clove pink, typically white, pink, or red."
Carnival,"A period of public revelry, typically involving processions, music, dancing, and the use of masquerade."
Cognitive,"Relating to the mental action or process of acquiring knowledge and understanding through thought and senses."
Reconnaissance,"Military observation of a region to locate an enemy or ascertain strategic features."
Incognito,"Having one's true identity concealed."
Recognize,"To identify someone or something from having encountered them before."
Cognizant,"Having knowledge or awareness."
Precognition,"Foreknowledge of an event, especially in extrasensory perception."
Reconnoiter,"To make a military observation of a region."
Minimalism,"A style or technique characterized by extreme spareness and simplicity."
Minuscule,"Extremely small; tiny."
Minutiae,"The small, precise, or trivial details of something."
Diminish,"To make or become less."
Minute,"Extremely small; also, a detailed record or description."
Diminution,"A reduction in the size, extent, or importance of something."
Minotory,"Threatening or menacing."
Apocalypse,"The complete final destruction of the world, especially as described in the biblical book of Revelation."
Apostle,"A vigorous and pioneering advocate or supporter of a particular cause."
Apogee,"The highest point in the development of something; the climax or culmination."
Apothecary,"A person who prepared and sold medicines and drugs."
Apoplectic,"Overcome with anger; extremely indignant."
Apologist,"A person who offers an argument in defense of something controversial."
Apothegm,"A concise, terse, and instructive saying or maxim."
Apotheosis,"The highest point in the development of something; a culmination or climax; deification."
