word,definition
careless,not giving sufficient attention or thought to avoiding harm or mistakes
verbose,using more words than necessary; wordy
taciturn,habitually silent or uncommunicative
mince,to soften or moderate one's words, often to be polite or vague
hedge,to avoid making a definite statement or commitment
loquacious,talkative; tending to talk a great deal
palaver,prolonged and idle talk; unnecessary or elaborate discussion
cornucopia,an abundant supply of something; a symbol of plenty
legion,a large number of people or things; numerous
surfeit,an excessive amount of something
glut,an oversupply of something
multitude,a large number of people or things
myriad,a countless or extremely great number
plethora,an excessive amount; overabundance
copious,abundant in quantity; plentiful
paucity,the presence of something in insufficient amounts; scarcity
superfluous,unnecessary, especially through being more than enough
wanting,lacking in a certain required quality; deficient
dearth,a scarcity or lack of something
modicum,a small quantity of a particular thing
iota,an extremely small amount
extraneous,irrelevant or unrelated to the subject at hand
dogmatic,asserting opinions in an authoritative or arrogant manner without consideration of others
didactic,intended to teach, often in a moralizing or overly instructive way
retract,to take back a statement or promise; to withdraw
assertive,confidently self-assured; expressing opinions forcefully
repudiate,to reject or refuse to accept; to deny the truth or validity of something
adamant,refusing to be persuaded or to change one’s mind; unyielding
doctrinaire,rigidly adhering to a theory or doctrine without considering practicalities
voracious,having a huge appetite, whether for food, knowledge, or activity
ascetic,practicing strict self-discipline and abstention from indulgence, often for religious reasons
abstemious,moderate or self-restrained, especially with food or drink
insatiable,impossible to satisfy, especially in appetite or desire
sate,to satisfy fully, especially hunger or a desire
gourmand,a person who enjoys eating and often eats excessively
ravenous,extremely hungry; eager for gratification
hoodwink,to deceive or trick someone
charlatan,a fraud or imposter who pretends to have knowledge or skill
steadfast,firm and unwavering in purpose, loyalty, or resolve
bilk,to cheat or defraud someone, especially out of money
bruise,an injury appearing as a discoloration of the skin; to injure emotionally or physically
bamboozle,to trick or confuse someone, often playfully
stalwart,loyal, reliable, and hardworking
fidelity,faithfulness and loyalty to a person, cause, or belief
laud,to praise or glorify someone or something
lionize,to treat someone as a celebrity or hero
deprecate,to express disapproval of something
derisory,ridiculously small or inadequate; deserving of ridicule
hail,to greet or acclaim enthusiastically
approbative,expressing approval or praise
reproach,to express disappointment or disapproval
slight,to insult or treat someone with indifference
pejorative,expressing contempt or disapproval; a word that has a negative connotation
kudos,praise or recognition for an achievement
venerate,to regard with great respect or reverence
belittle,to make something or someone seem unimportant
commend,to praise or approve of someone or something
revere,to deeply respect and admire
phlegmatic,calm, unemotional, and difficult to excite
indolence,avoidance of activity; laziness
vivacious,full of energy and enthusiasm; lively
alacrity,brisk and cheerful readiness
torpid,mentally or physically inactive; sluggish
ebullient,overflowing with enthusiasm or excitement
exuberant,full of energy, excitement, and joy
industrious,hardworking and diligent
lackadaisical,lacking enthusiasm and determination; carelessly lazy
feckless,lacking initiative or strength of character; ineffective
bustle,busy and energetic activity
dispatch,quick and efficient execution of a task
celerity,swiftness or speed in movement or action
assiduous,showing great care, attention, and effort; diligent
palindrome,a word, phrase, or sequence that reads the same forward and backward (e.g., "racecar")
portmanteau,a word formed by blending two other words (e.g., "brunch" from "breakfast" and "lunch")
brunch,a meal that combines breakfast and lunch, typically eaten in the late morning
neologism,a newly coined word or expression
archaic,old-fashioned or outdated
barbarism,the use of incorrect or nonstandard language; extreme cruelty or brutality
tautology,the unnecessary repetition of an idea using different words
eponymous,giving one's name to something, such as a book or brand
bombastic,high-sounding but with little meaning; overly inflated in speech or writing
cryptic,mysterious or obscure in meaning
turgid,excessively grand or pompous in style; swollen or bloated
lucid,expressed clearly; easy to understand
oblique,not direct or straightforward; slanting or angled
limpid,clear and transparent; easily understood
sesquipedalian,characterized by long words; overly wordy
pedantic,overly concerned with minor details or rules, especially in learning
erudite,having or showing great knowledge or learning
pedagogue,a teacher, especially one who is strict or overly academic
unlettered,lacking formal education or knowledge; illiterate
benighted,in a state of moral or intellectual ignorance
collegial,characterized by shared responsibility and mutual respect among colleagues
eminent,famous and respected within a particular field
churlish,rude or lacking good manners
indiscreet,lacking good judgment in revealing private or sensitive information
idiosyncrasy,a peculiar habit or characteristic unique to an individual
etiquette,the customary code of polite behavior in society
brusque,abrupt or blunt in speech or manner
irascible,easily angered or prone to outbursts
impolite,not having or showing good manners
inscrutable,impossible to understand or interpret
esoteric,intended for or understood by only a small, specialized group
currency,widely accepted or used; also, money in circulation
abstruse,difficult to understand; obscure
pellucid,clear in meaning or style; allowing maximum light to pass through
recondite,exceedingly difficult to understand; little known
arcane,understood by few; mysterious or secret
philistine,a person who is indifferent or hostile to culture and the arts
ignoble,dishonorable or lacking in noble qualities
base,lacking moral principles; low or ignoble
contemptible,deserving of scorn or disdain
vulgar,lacking sophistication or good taste; crude or coarse
wayward,difficult to control or predict due to willful behavior
uncultivated,lacking education, refinement, or culture
crescendo,a gradual increase in intensity, often in music or sound
coda,the concluding passage of a piece of music or literature
mellifluous,pleasingly smooth and musical to hear
forte,a person's strong point or talent; in music, a loud dynamic marking
amplified,made larger, louder, or more powerful
virtuoso,a person highly skilled in a particular art, especially music
