word,definition
mitigate,"to make less severe or serious"
castigate,"to reprimand severely"
navigate,"to plan and direct the route or course"
exigent,"demanding immediate attention or action"
unmitigated,"absolute; not softened or lessened"
appendix,"supplementary material at the end of a book"
compendious,"containing the essentials in a concise form"
impending,"about to happen soon"
appendage,"a subordinate or attached part"
pending,"awaiting decision or resolution"
expenditure,"the act of spending money or resources"
regicide,"the act of killing a king"
regalia,"the emblems or insignia of royalty"
regal,"resembling or fit for a monarch"
regent,"a person appointed to govern in place of a monarch"
regiment,"a military unit or a large group of people"
regnant,"reigning or ruling; dominant"
ascertain,"to find out or make certain"
antiquated,"outdated or old-fashioned"
accretion,"a gradual accumulation or growth"
adulate,"to praise excessively or obsequiously"
admonish,"to warn or reprimand firmly"
agrarian,"related to farming or rural matters"
ailment,"a minor illness or health disorder"
banter,"playful or friendly exchange of teasing remarks"
bedlam,"a scene of uproar and confusion"
belie,"to give a false impression"
bemoan,"to express sorrow or disapproval"
beguile,"to charm or deceive"
berate,"to scold or criticize angrily"
betrothed,"engaged to be married"
caustic,"able to burn or corrode; sarcastically biting"
collude,"to conspire or cooperate for deceitful purposes"
cantankerous,"bad-tempered and argumentative"
clamber,"to climb with difficulty or effort"
catatonic,"marked by lack of movement or responsiveness"
carouse,"to drink and party noisily"
commiserate,"to express sympathy or sorrow"
divulge,"to make known something private or secret"
deign,"to do something considered beneath one's dignity"
disdain,"the feeling that someone or something is unworthy"
demonstrative,"openly expressive of emotions or feelings"
delirious,"in a disturbed state of mind; wildly excited"
dismay,"sudden loss of courage or resolution"
dilapidated,"in a state of disrepair or ruin"
disparage,"to belittle or speak of with little respect"
eschew,"to deliberately avoid or abstain from"
eradicate,"to destroy or wipe out completely"
elegant,"graceful and stylish in appearance or manner"
entertain,"to amuse or hold the interest of"
evident,"clearly seen or understood; obvious"
espouse,"to adopt or support a cause or belief"
endow,"to provide with a quality or asset"
finagle,"to obtain by dishonest or indirect means"
foist,"to impose something unwanted or unwelcome"
festoon,"to decorate with ribbons, garlands, or chains"
fritter,"to waste time, money, or energy on trifles"
feral,"in a wild or untamed state"
filigree,"delicate ornamental work of fine wire"
fickle,"changing frequently, especially in loyalty or affection"
germane,"relevant to a subject under consideration"
garner,"to gather or collect"
gentrification,"the process of renovating an area to attract wealthier residents"
gripe,"to complain naggingly"
glom,"to steal or attach oneself to"
glum,"looking or feeling gloomy or dejected"
grovel,"to act humbly or submissively to gain favor"
heretic,"a person holding beliefs contrary to the norm"
hegemony,"dominance or leadership of one group over others"
husbandry,"the care and breeding of crops or animals"
haven,"a safe or peaceful place"
hallow,"to make holy or sacred"
hirsute,"hairy or shaggy"
harry,"to harass or attack repeatedly"
inveterate,"firmly established and unlikely to change"
inoculate,"to introduce a vaccine or prevent disease"
impervious,"not affected or penetrable"
itinerary,"a planned route or travel schedule"
idiom,"a phrase whose meaning is not literal"
intuitive,"based on instinctive understanding"
imprint,"a mark or impression made by pressure"
impetus,"the force or energy behind movement or action"
lithe,"gracefully thin and flexible"
livid,"furiously angry or discolored by bruising"
languorous,"lacking energy or vitality; dreamy"
leery,"suspicious or wary"
lull,"a temporary period of quiet or calm"
liable,"legally responsible or likely to happen"
lumber,"to move in a slow, heavy, awkward way"
mirth,"amusement or laughter"
mettle,"courage or strength of character"
myopic,"short-sighted or lacking foresight"
maim,"to wound or injure seriously"
meager,"lacking in quantity or quality"
meander,"to wander aimlessly"
mull,"to think about deeply and at length"
negligible,"so small or unimportant as to be not worth considering"
nadir,"the lowest point"
noisome,"having an extremely offensive smell"
nimble,"quick and light in movement or action"
nary,"not a single one"
natter,"to talk casually, especially at length"
natty,"neat and fashionable in appearance"
ominous,"giving the impression that something bad will happen"
omnipotent,"having unlimited power"
ossify,"to become rigid or fixed in attitude or position"
opine,"to express an opinion"
oeuvre,"the complete works of an artist or writer"
ornery,"bad-tempered and difficult to deal with"
onerous,"burdensome or oppressive"
perpetuate,"to cause to continue indefinitely"
prevaricate,"to speak or act evasively"
penchant,"a strong or habitual liking for something"
peddle,"to sell goods, often illegally or aggressively"
pander,"to indulge or cater to others' weaknesses or desires"
preempt,"to take action to prevent something from happening"
pilfer,"to steal items of little value"
quagmire,"a difficult, complex, or dangerous situation"
quixotic,"idealistic but impractical"
quisling,"a traitor who collaborates with an enemy force"
quip,"a witty or sarcastic remark"
quandary,"a state of uncertainty or perplexity"
quizzical,"expressing puzzlement or mild amusement"
querulous,"complaining in a whining manner"
refined,"elegant and cultured in manner"
relinquish,"to voluntarily give up or let go"
ramshackle,"in a state of severe disrepair"
revert,"to return to a previous state or condition"
resilient,"able to recover quickly from adversity"
retribution,"punishment inflicted as vengeance"
stringent,"strict, precise, and exacting"
soporific,"causing sleep or drowsiness"
spurious,"false or not genuine"
sequential,"forming or following in a logical order"
stark,"severe, bare, or complete"
spurn,"to reject with disdain or contempt"
specious,"superficially plausible but actually wrong"
tantamount,"equivalent in seriousness to"
taut,"stretched or pulled tight; tense"
travesty,"a distorted or absurd imitation"
triage,"the process of prioritizing treatment based on severity"
tempest,"a violent storm or disturbance"
titillate,"to excite or arouse interest or curiosity"
unanimous,"fully in agreement"
undulate,"to move in a wave-like motion"
unctuous,"excessively flattering or insincere"
unassuming,"modest and not boastful"
usher,"to guide or lead someone"
utilitarian,"practical and functional rather than attractive"
ululate,"to howl or wail as an expression of emotion"
vacuous,"lacking thought or intelligence"
vaunt,"to boast or brag"
vehement,"showing strong feeling; passionate"
valiant,"brave and courageous"
vouch,"to confirm or guarantee something"
vernacular,"the everyday language spoken by ordinary people"
vignette,"a brief, descriptive scene or story"
